signal_id,timestamp,symbol,decision,coarse_result,fine_result,coarse_reason,fine_reason,box_score,rsi,atr
0,1726596000.0,XAUUSD,NONE,BOTH,NONE,趋势不明确,箱体质量不足,69.47537473233518,33.28075709779155,7.594285714285628
1,1726671600.0,XAUUSD,NONE,BOTH,NONE,趋势不明确,箱体质量不足,65.499762673528,58.71296591271137,4.587142857142713
2,1726747200.0,XAUUSD,SHORT_ONLY,SHORT_ONLY,SHORT_ONLY,下降趋势,价格接近上边界,100.0,60.40942448821942,8.772142857142788
3,1726822800.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,"RSI 超买, 价格接近上边界",70.51672938015177,78.93436838391014,4.065714285714323
4,1727071200.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,100.0,62.79667721518971,6.3264285714285835
5,1727146800.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,所有精筛规则通过,78.11948341540378,58.32944470368687,4.197857142857109
6,1727218800.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,"RSI 超买, 价格接近上边界",100.0,75.87028215463522,7.504285714285743
7,1727294400.0,XAUUSD,NONE,LONG_ONLY,NONE,上升趋势,箱体质量不足,63.312726266141574,48.83183568677753,6.3264285714286155
8,1727370000.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,所有精筛规则通过,100.0,55.613010842368716,8.029285714285638
9,1727445600.0,XAUUSD,NONE,LONG_ONLY,NONE,上升趋势,箱体质量不足,53.60816677748669,38.080251770259565,4.802142857142891
10,1727694000.0,XAUUSD,SHORT_ONLY,SHORT_ONLY,SHORT_ONLY,下降趋势,所有精筛规则通过,82.82876198969745,59.49853173706814,6.675714285714256
11,1727769600.0,XAUUSD,SHORT_ONLY,SHORT_ONLY,SHORT_ONLY,下降趋势,所有精筛规则通过,89.67891519707884,65.06576934842442,5.002142857142871
12,1727845200.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,所有精筛规则通过,100.0,58.76215738284688,8.037142857142888
13,1727920800.0,XAUUSD,NONE,BOTH,NONE,趋势不明确,箱体质量不足,68.78011890238818,60.13426284533964,6.164285714285727
14,1727992800.0,XAUUSD,SHORT_ONLY,BOTH,SHORT_ONLY,趋势不明确,价格接近上边界,85.35232219282322,54.93107104984102,8.013571428571465
15,1728068400.0,XAUUSD,NONE,NONE,NONE,"趋势不明确, 不适合交易时段",粗筛已拒绝,100.0,39.29581084554082,9.657142857142812
16,1728316800.0,XAUUSD,NONE,SHORT_ONLY,NONE,下降趋势,箱体质量不足,54.256398891966015,42.86541803436962,6.945714285714238
17,1728392400.0,XAUUSD,NONE,SHORT_ONLY,NONE,下降趋势,箱体质量不足,69.54242957139434,52.92650163116499,7.186428571428515
18,1728468000.0,XAUUSD,LONG_ONLY,SHORT_ONLY,LONG_ONLY,下降趋势,价格接近下边界,100.0,54.15151515151482,5.437142857142882
19,1728543600.0,XAUUSD,NONE,SHORT_ONLY,NONE,下降趋势,箱体质量不足,58.544485469631496,56.16319444444411,4.929999999999966
20,1728619200.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,100.0,70.64449064449015,7.7450000000000205
21,1728867600.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,所有精筛规则通过,92.59934717204669,55.66188197767181,6.423571428571352
22,1728939600.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,价格接近下边界,78.95484845421574,35.9594822734948,6.068571428571398
23,1729015200.0,XAUUSD,SHORT_ONLY,BOTH,SHORT_ONLY,趋势不明确,价格接近上边界,97.56942593678426,66.8604651162789,7.157857142857178
24,1729090800.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,86.87224562194793,74.52594810379227,5.227857142857114
25,1729166400.0,XAUUSD,NONE,LONG_ONLY,NONE,上升趋势,箱体质量不足,67.41900531621656,57.71698750422179,4.291428571428663
26,1729242000.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,100.0,72.40063593004805,4.976428571428609
27,1729490400.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,"RSI 超买, 价格接近上边界",100.0,80.80156950672662,5.4585714285714335
28,1729566000.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,所有精筛规则通过,89.27894829224678,39.22603342128378,6.4135714285714585
29,1729638000.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,95.63734442845245,63.52337739199067,6.324285714285777
30,1729713600.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,价格接近下边界,100.0,26.020241593208908,7.81285714285715
31,1729789200.0,XAUUSD,SHORT_ONLY,SHORT_ONLY,SHORT_ONLY,下降趋势,所有精筛规则通过,100.0,68.82372767104722,6.097857142857135
32,1729864800.0,XAUUSD,BOTH,BOTH,BOTH,趋势不明确,所有精筛规则通过,75.9544357133977,32.67857142857065,4.845714285714329
33,1730113200.0,XAUUSD,LONG_ONLY,LONG_ONLY,LONG_ONLY,上升趋势,所有精筛规则通过,81.42620777314033,37.815955766193014,6.714285714285779
34,1730188800.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,价格接近上边界,100.0,60.02098635886687,4.401428571428466
35,1730264400.0,XAUUSD,SHORT_ONLY,LONG_ONLY,SHORT_ONLY,上升趋势,"RSI 超买, 价格接近上边界",100.0,79.50988467874755,6.06142857142858
36,1730340000.0,XAUUSD,NONE,LONG_ONLY,NONE,上升趋势,箱体质量不足,64.11228271868787,55.37267080745351,6.127857142857173
37,1730412000.0,XAUUSD,LONG_ONLY,SHORT_ONLY,LONG_ONLY,下降趋势,"RSI 超卖, 价格接近下边界",100.0,24.25089892129428,8.554999999999934
38,1730487600.0,XAUUSD,NONE,NONE,NONE,"下降趋势, 不适合交易时段",粗筛已拒绝,69.7158405875666,42.71265560165946,7.2971428571428465
39,1730736000.0,XAUUSD,NONE,SHORT_ONLY,NONE,下降趋势,箱体质量不足,48.74671331692829,54.29826970612475,6.47571428571434
40,1730811600.0,XAUUSD,SHORT_ONLY,SHORT_ONLY,SHORT_ONLY,下降趋势,价格接近上边界,81.849105974705,55.5216284987279,5.5149999999999055
41,1730887200.0,XAUUSD,BOTH,BOTH,BOTH,趋势不明确,所有精筛规则通过,100.0,41.13467979295642,11.777857142857167
42,1730962800.0,XAUUSD,LONG_ONLY,SHORT_ONLY,LONG_ONLY,下降趋势,价格接近下边界,100.0,49.53662561889043,8.48214285714289
43,1731038400.0,XAUUSD,SHORT_ONLY,SHORT_ONLY,SHORT_ONLY,下降趋势,价格接近上边界,100.0,73.70578412023704,8.711428571428607
44,1731286800.0,XAUUSD,NONE,LONG_ONLY,NONE,上升趋势,箱体质量不足,63.71406817887884,45.97168597168577,7.191428571428593
