交易 #,类型,日期和时间,信号,价格 USD,仓位大小（数量）,仓位大小（价值）,净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计P&L USD,累计P&L %
1,空头出场,2025-03-12 16:02,✅移动止盈,2915.54,1,2908.99,-6.55,-0.23,2.82,0.10,-6.55,-0.23,-6.55,0.00
1,空头进场,2025-03-12 15:02,①挂空,2908.99,1,2908.99,-6.55,-0.23,2.82,0.10,-6.55,-0.23,-6.55,0.00
2,多头出场,2025-03-13 07:02,✅移动止盈,2941.03,1,2925.34,15.69,0.54,21.77,0.74,0,0.00,9.14,0.00
2,多头进场,2025-03-12 17:02,①挂多,2925.34,1,2925.34,15.69,0.54,21.77,0.74,0,0.00,9.14,0.00
3,空头出场,2025-03-14 18:02,✅移动止盈,2984.45,1,2980.75,-3.7,-0.12,2.23,0.07,-5.29,-0.18,5.44,0.00
3,空头进场,2025-03-14 17:02,①挂空,2980.75,1,2980.75,-3.7,-0.12,2.23,0.07,-5.29,-0.18,5.44,0.00
4,多头出场,2025-03-18 12:02,✅移动止盈,3020.47,1,3004.97,15.5,0.52,23.58,0.78,-2.01,-0.07,20.94,0.00
4,多头进场,2025-03-18 03:02,①挂多,3004.97,1,3004.97,15.5,0.52,23.58,0.78,-2.01,-0.07,20.94,0.00
5,多头出场,2025-03-19 21:02,✅移动止盈,3042.57,1,3038.24,4.33,0.14,13.58,0.45,-15.5,-0.51,25.27,0.00
5,多头进场,2025-03-19 05:02,①挂多,3038.24,1,3038.24,4.33,0.14,13.58,0.45,-15.5,-0.51,25.27,0.00
6,多头出场,2025-03-28 10:02,✅移动止盈,3077.36,1,3055.93,21.43,0.70,30.04,0.98,-2.02,-0.07,46.7,0.00
6,多头进场,2025-03-27 21:02,①挂多,3055.93,1,3055.93,21.43,0.70,30.04,0.98,-2.02,-0.07,46.7,0.00
7,空头出场,2025-03-31 17:02,✅移动止盈,3114.44,1,3111.9,-2.54,-0.08,11.94,0.38,-2.56,-0.08,44.16,0.00
7,空头进场,2025-03-31 16:02,①挂空,3111.9,1,3111.9,-2.54,-0.08,11.94,0.38,-2.56,-0.08,44.16,0.00
8,空头出场,2025-03-31 20:02,✅移动止盈,3118.71,1,3111.9,-6.81,-0.22,0.28,0.01,-8.72,-0.28,37.35,0.00
8,空头进场,2025-03-31 19:02,①挂空,3111.9,1,3111.9,-6.81,-0.22,0.28,0.01,-8.72,-0.28,37.35,0.00
9,多头出场,2025-04-01 08:02,✅移动止盈,3138.17,1,3127.92,10.25,0.33,21.06,0.67,-1.36,-0.04,47.6,0.00
9,多头进场,2025-04-01 03:02,①挂多,3127.92,1,3127.92,10.25,0.33,21.06,0.67,-1.36,-0.04,47.6,0.00
10,空头出场,2025-04-08 20:02,✅移动止盈,2983.21,1,2994.92,11.71,0.39,13.01,0.43,0,0.00,59.31,0.01
10,空头进场,2025-04-08 19:02,①挂空,2994.92,1,2994.92,11.71,0.39,13.01,0.43,0,0.00,59.31,0.01
11,多头出场,2025-04-11 08:02,✅移动止盈,3201.92,1,3132.66,69.26,2.21,87.48,2.79,-16.5,-0.53,128.57,0.01
11,多头进场,2025-04-10 15:02,①挂多,3132.66,1,3132.66,69.26,2.21,87.48,2.79,-16.5,-0.53,128.57,0.01
12,多头出场,2025-04-14 16:02,❌止损,3199.56,1,3237.76,-38.2,-1.18,8.02,0.25,-38.2,-1.18,90.37,0.01
12,多头进场,2025-04-11 16:02,①挂多,3237.76,1,3237.76,-38.2,-1.18,8.02,0.25,-38.2,-1.18,90.37,0.01
13,空头出场,2025-04-14 18:02,✅移动止盈,3207.87,1.4,4486.664,-4.35,-0.10,13.09,0.29,-15.2,-0.34,86.02,0.01
13,空头进场,2025-04-14 17:02,②⚡追空,3204.76,1.4,4486.664,-4.35,-0.10,13.09,0.29,-15.2,-0.34,86.02,0.01
14,多头出场,2025-04-15 08:02,✅移动止盈,3222.61,1,3215.62,6.99,0.22,16.96,0.53,-14.23,-0.44,93.01,0.01
14,多头进场,2025-04-14 20:02,①挂多,3215.62,1,3215.62,6.99,0.22,16.96,0.53,-14.23,-0.44,93.01,0.01
15,空头出场,2025-04-15 16:02,✅移动止盈,3222.28,1,3217.35,-4.93,-0.15,3.04,0.09,-5.11,-0.16,88.08,0.01
15,空头进场,2025-04-15 15:02,①挂空,3217.35,1,3217.35,-4.93,-0.15,3.04,0.09,-5.11,-0.16,88.08,0.01
16,空头出场,2025-04-15 19:02,✅移动止盈,3221.92,1,3217.35,-4.57,-0.14,0.37,0.01,-6.79,-0.21,83.51,0.01
16,空头进场,2025-04-15 18:02,①挂空,3217.35,1,3217.35,-4.57,-0.14,0.37,0.01,-6.79,-0.21,83.51,0.01
17,多头出场,2025-04-16 04:02,✅移动止盈,3261.82,1,3232.58,29.24,0.90,42.4,1.31,-6.03,-0.19,112.75,0.01
17,多头进场,2025-04-15 23:02,①挂多,3232.58,1,3232.58,29.24,0.90,42.4,1.31,-6.03,-0.19,112.75,0.01
18,多头出场,2025-04-17 03:02,✅移动止盈,3345.49,1,3317.74,27.75,0.84,40,1.21,-20.86,-0.63,140.5,0.01
18,多头进场,2025-04-16 16:02,①挂多,3317.74,1,3317.74,27.75,0.84,40,1.21,-20.86,-0.63,140.5,0.01
19,空头出场,2025-04-17 17:02,✅移动止盈,3309.58,1,3320.79,11.21,0.34,12.15,0.37,0,0.00,151.71,0.02
19,空头进场,2025-04-17 16:02,①挂空,3320.79,1,3320.79,11.21,0.34,12.15,0.37,0,0.00,151.71,0.02
20,空头出场,2025-04-23 17:02,✅移动止盈,3266.98,1,3291.73,24.75,0.75,31.4,0.95,0,0.00,176.46,0.02
20,空头进场,2025-04-23 16:02,①挂空,3291.73,1,3291.73,24.75,0.75,31.4,0.95,0,0.00,176.46,0.02
21,多头出场,2025-04-28 02:02,✅移动止盈,3309.88,1,3303.25,6.63,0.20,27.41,0.83,0,0.00,183.09,0.02
21,多头进场,2025-04-25 22:02,①挂多,3303.25,1,3303.25,6.63,0.20,27.41,0.83,0,0.00,183.09,0.02
22,多头出场,2025-05-02 15:02,✅移动止盈,3247.87,1,3236.76,11.11,0.34,32.51,1.00,-9.28,-0.29,194.2,0.02
22,多头进场,2025-05-01 23:02,①挂多,3236.76,1,3236.76,11.11,0.34,32.51,1.00,-9.28,-0.29,194.2,0.02
23,多头出场,2025-05-06 05:02,✅移动止盈,3359.04,1,3269.27,89.77,2.75,117.69,3.60,-16.17,-0.49,283.97,0.03
23,多头进场,2025-05-05 04:02,①挂多,3269.27,1,3269.27,89.77,2.75,117.69,3.60,-16.17,-0.49,283.97,0.03
24,多头出场,2025-05-08 08:02,❌止损,3355.88,1,3397.47,-41.59,-1.22,17.32,0.51,-41.59,-1.22,242.38,0.02
24,多头进场,2025-05-07 16:02,①挂多,3397.47,1,3397.47,-41.59,-1.22,17.32,0.51,-41.59,-1.22,242.38,0.02
25,空头出场,2025-05-08 10:02,✅移动止盈,3331.57,1.4,4702.054,37.86,0.81,53.56,1.14,-4.51,-0.10,280.23,0.03
25,空头进场,2025-05-08 09:02,②⚡追空,3358.61,1.4,4702.054,37.86,0.81,53.56,1.14,-4.51,-0.10,280.23,0.03
26,空头出场,2025-05-08 20:02,✅移动止盈,3311.07,1,3320.35,9.28,0.28,15.92,0.48,0,0.00,289.51,0.03
26,空头进场,2025-05-08 19:02,①挂空,3320.35,1,3320.35,9.28,0.28,15.92,0.48,0,0.00,289.51,0.03
27,空头出场,2025-05-20 06:02,✅移动止盈,3206.13,1,3206.7,0.57,0.02,1.81,0.06,0,0.00,290.08,0.03
27,空头进场,2025-05-20 05:02,①挂空,3206.7,1,3206.7,0.57,0.02,1.81,0.06,0,0.00,290.08,0.03
28,空头出场,2025-05-21 16:02,✅移动止盈,3306.23,1,3298.46,-7.77,-0.24,7.68,0.23,-7.77,-0.24,282.31,0.03
28,空头进场,2025-05-21 15:02,①挂空,3298.46,1,3298.46,-7.77,-0.24,7.68,0.23,-7.77,-0.24,282.31,0.03
29,空头出场,2025-05-21 18:02,✅移动止盈,3307.21,1,3298.46,-8.75,-0.27,3.11,0.09,-9.24,-0.28,273.56,0.03
29,空头进场,2025-05-21 17:02,①挂空,3298.46,1,3298.46,-8.75,-0.27,3.11,0.09,-9.24,-0.28,273.56,0.03
30,多头出场,2025-05-22 06:02,✅移动止盈,3334.68,1,3320.55,14.13,0.43,24.88,0.75,-7.33,-0.22,287.69,0.03
30,多头进场,2025-05-21 22:02,①挂多,3320.55,1,3320.55,14.13,0.43,24.88,0.75,-7.33,-0.22,287.69,0.03
31,多头出场,2025-05-28 04:02,✅移动止盈,3308.87,1,3304.92,3.95,0.12,10.95,0.33,-7.66,-0.23,291.64,0.03
31,多头进场,2025-05-27 22:02,①挂多,3304.92,1,3304.92,3.95,0.12,10.95,0.33,-7.66,-0.23,291.64,0.03
32,空头出场,2025-05-28 20:02,✅移动止盈,3293.52,1,3291.68,-1.84,-0.06,3.04,0.09,-1.85,-0.06,289.8,0.03
32,空头进场,2025-05-28 19:02,①挂空,3291.68,1,3291.68,-1.84,-0.06,3.04,0.09,-1.85,-0.06,289.8,0.03
33,空头出场,2025-05-30 16:02,✅移动止盈,3305.49,1,3287.53,-17.96,-0.55,4.79,0.15,-19.24,-0.59,271.84,0.03
33,空头进场,2025-05-30 15:02,①挂空,3287.53,1,3287.53,-17.96,-0.55,4.79,0.15,-19.24,-0.59,271.84,0.03
34,多头出场,2025-06-04 18:02,✅移动止盈,3372.75,1,3363.14,9.61,0.29,21.57,0.64,-19.28,-0.57,281.45,0.03
34,多头进场,2025-06-04 04:02,①挂多,3363.14,1,3363.14,9.61,0.29,21.57,0.64,-19.28,-0.57,281.45,0.03
35,多头出场,2025-06-11 16:02,✅移动止盈,3335.24,1,3328.52,6.72,0.20,32.18,0.97,-26.58,-0.80,288.17,0.03
35,多头进场,2025-06-09 18:02,①挂多,3328.52,1,3328.52,6.72,0.20,32.18,0.97,-26.58,-0.80,288.17,0.03
