交易 #,类型,日期和时间,信号,价格 USD,仓位大小（数量）,仓位大小（价值）,净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计P&L USD,累计P&L %
1,多头出场,2022-01-05 12:02,✅移动止盈,1818.03,1,1816.75,1.28,0.07,3.41,0.19,-0.42,-0.02,1.28,0.01
1,多头进场,2022-01-05 11:02,①挂多,1816.75,1,1816.75,1.28,0.07,3.41,0.19,-0.42,-0.02,1.28,0.01
2,空头出场,2022-01-05 22:02,✅移动止盈,1812.54,1,1814.99,2.45,0.13,2.78,0.15,0,0.00,3.73,0.04
2,空头进场,2022-01-05 21:02,①挂空,1814.99,1,1814.99,2.45,0.13,2.78,0.15,0,0.00,3.73,0.04
3,空头出场,2022-01-06 22:02,✅移动止盈,1788.05,1,1786.87,-1.18,-0.07,0.42,0.02,-1.24,-0.07,2.55,0.03
3,空头进场,2022-01-06 21:02,①挂空,1786.87,1,1786.87,-1.18,-0.07,0.42,0.02,-1.24,-0.07,2.55,0.03
4,空头出场,2022-01-07 18:02,✅移动止盈,1790.97,1,1786.87,-4.1,-0.23,0.33,0.02,-4.12,-0.23,-1.55,-0.02
4,空头进场,2022-01-07 17:02,①挂空,1786.87,1,1786.87,-4.1,-0.23,0.33,0.02,-4.12,-0.23,-1.55,-0.02
5,多头出场,2022-01-13 17:02,✅移动止盈,1813.63,1,1807.15,6.48,0.36,21.03,1.16,-5.35,-0.30,4.93,0.05
5,多头进场,2022-01-11 05:02,①挂多,1807.15,1,1807.15,6.48,0.36,21.03,1.16,-5.35,-0.30,4.93,0.05
6,空头出场,2022-01-14 17:02,✅移动止盈,1824.05,1,1819.62,-4.43,-0.24,0.38,0.02,-4.43,-0.24,0.5,0.01
6,空头进场,2022-01-14 16:02,①挂空,1819.62,1,1819.62,-4.43,-0.24,0.38,0.02,-4.43,-0.24,0.5,0.01
7,空头出场,2022-01-14 19:02,✅移动止盈,1818.52,1,1819.62,1.1,0.06,1.82,0.10,0,0.00,1.6,0.02
7,空头进场,2022-01-14 18:02,①挂空,1819.62,1,1819.62,1.1,0.06,1.82,0.10,0,0.00,1.6,0.02
8,多头出场,2022-01-20 11:02,✅移动止盈,1837.67,1,1820.12,17.55,0.96,23.95,1.32,0,0.00,19.15,0.19
8,多头进场,2022-01-19 15:02,①挂多,1820.12,1,1820.12,17.55,0.96,23.95,1.32,0,0.00,19.15,0.19
9,多头出场,2022-01-26 21:02,❌止损,1819.77,1,1843.22,-23.45,-1.27,10.66,0.58,-23.45,-1.27,-4.3,-0.04
9,多头进场,2022-01-24 11:02,①挂多,1843.22,1,1843.22,-23.45,-1.27,10.66,0.58,-23.45,-1.27,-4.3,-0.04
10,空头出场,2022-01-28 12:02,✅移动止盈,1791.49,1,1791.82,0.33,0.02,1.91,0.11,0,0.00,-3.97,-0.04
10,空头进场,2022-01-28 11:02,①挂空,1791.82,1,1791.82,0.33,0.02,1.91,0.11,0,0.00,-3.97,-0.04
